time,"No,1","No,2","No,3","No,4","No,5","No,6","No,7","No,8","No,9","No,10","No,11","No,12","No,13","No,14","No,15"
1.1010000705718994,5.4430175909312934,1.8684955928643971,7.27710858767076,9.601637062617552,3.663187284801741,1.2410199865517926,2.085760655063574,0,0.7319329345331707,1.2086857487959175,1.7723983179018334,4.625264744090525,0,0.9364432202182423,0,0
1.2009999752044678,5.4430175909312934,1.8767350870672006,7.309198411296923,9.601637062617552,3.663187284801741,1.246492505204663,2.104196346900706,0,0.7351605349588596,1.1980959775392783,1.7802140525073527,4.666146690578583,0,0.9364432202182423,0,0
1.3020000457763672,5.515341712188693,1.9016722131626984,7.341429741232626,9.643977346007558,3.6793408205725355,1.2630552800968597,2.113475209354575,0,0.7319329345331707,1.2033792144380089,1.7959490686974806,4.707389985798252,0,0.932331921539269,0,0
1.4000000953674316,5.491127518945749,1.9100580061160366,7.373803201477422,9.643977346007558,3.6793408205725355,1.2798381329365647,2.1415580209131013,0,0.7287195043519559,1.2086857487959175,1.7880642521125318,4.728148136176792,0,0.9364432202182423,0,0
1.501000165939331,5.539662682619451,1.9016722131626984,7.373803201477422,9.686504337100208,3.6955655884965366,1.2911504095215833,2.151001636924649,0,0.7351605349588596,1.2086857487959175,1.803868654912494,4.748997823650928,0,0.9364432202182423,0,0
1.6000001430511475,5.564090901092771,1.9184807778520325,7.373803201477422,9.686504337100208,3.711861902685759,1.2968439880105171,2.1700139829592904,0,0.7351605349588596,1.2033792144380089,1.803868654912494,4.748997823650928,0,0.9364432202182423,0,0
1.7000000476837158,5.539662682619451,1.9269406914358098,7.373803201477422,9.729218859219372,3.711861902685759,1.3025626734395643,2.1700139829592904,0,0.7319329345331707,1.2033792144380089,1.803868654912494,4.748997823650928,0,0.9364432202182423,0,0
1.8020000457763672,5.564090901092771,1.9269406914358098,7.406319418782513,9.729218859219372,3.728230078637355,1.308306576522654,2.1988480537319606,0,0.7319329345331707,1.2086857487959175,1.811823164081009,4.769939451871261,0,0.9364432202182423,0,0
1.9010000228881836,5.515341712188693,1.9184807778520325,7.406319418782513,9.686504337100208,3.728230078637355,1.3140758084619286,2.1988480537319606,0,0.7319329345331707,1.2033792144380089,1.811823164081009,4.790973426268367,0,0.9364432202182423,0,0
2.003000020980835,5.539662682619451,1.9269406914358098,7.406319418782513,9.729218859219372,3.7446704332397207,1.3140758084619286,2.1891943759612307,0,0.7351605349588596,1.2033792144380089,1.8198127502025716,4.790973426268367,0,0.932331921539269,0,0
2.1010000705718994,5.564090901092771,1.9269406914358098,7.438979022662883,9.772121739319532,3.7446704332397207,1.308306576522654,2.2085443012696895,0,0.7351605349588596,1.2033792144380089,1.8278375679558183,4.812100154060648,0,0.9364432202182423,0,0
2.200000047683716,5.564090901092771,1.9354379106515591,7.438979022662883,9.772121739319532,3.7611832847786366,1.3140758084619286,2.1891943759612307,0,0.7319329345331707,1.1980959775392783,1.8198127502025716,4.812100154060648,0,0.9364432202182423,0,0
2.302000045776367,5.539662682619451,1.9354379106515591,7.438979022662883,9.772121739319532,3.7611832847786366,1.3198704809498996,2.1988480537319606,0,0.7351605349588596,1.1980959775392783,1.8358977727014714,4.812100154060648,0,0.9364432202182423,0,0
2.4000000953674316,5.539662682619451,1.9354379106515591,7.438979022662883,9.81521380800179,3.7611832847786366,1.331536596806792,2.2085443012696895,0,0.7351605349588596,1.1980959775392783,1.8278375679558183,4.812100154060648,0,0.9364432202182423,0,0
