time,"No,1","No,2","No,3","No,4","No,5","No,6","No,7","No,8","No,9","No,10","No,11","No,12","No,13","No,14","No,15"
3.7100000381469727,0,0,0,0.6851850106080379,0,0,0,0,0,0,0,0,0,0,0.6851850106080379,0
3.802999973297119,0,0,0.6791818352268065,0.688206466984126,0,0,0,0,0,0,0,0,0,0,0.6851850106080379,0
3.9029998779296875,0,0,0,0.6912412470589104,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6821768194351565,0
4.007999897003174,0,0,0,0.688206466984126,0,0,0,0,0,0,0,0,0,0,0.6821768194351565,0
4.101000070571899,0,0,0.6791818352268065,0.6851850106080379,0,0,0,0,0,0,0,0,0,0,0.6821768194351565,0
4.203000068664551,0,0,0,0.688206466984126,0,0,0,0,0,0,0,0,0,0,0.6821768194351565,0
4.305999994277954,0,0,0,0.6821768194351565,0,0,0,0,0,0,0,0,0,0,0.688206466984126,0
4.400000095367432,0.6791818352268065,0,0,0.6851850106080379,0,0,0,0,0,0,0,0,0,0.6791818352268065,0.688206466984126,0
4.503000020980835,0,0,0,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0.6791818352268065,0.6791818352268065,0.6851850106080379,0
4.601999998092651,0,0,0,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0,0.6791818352268065,0.6851850106080379,0
4.704999923706055,0,0,0,0.688206466984126,0,0,0,0,0,0,0,0,0,0,0.6821768194351565,0
4.809999942779541,0,0,0,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6851850106080379,0
4.908999919891357,0,0,0,0.6912412470589104,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6821768194351565,0
5.003000020980835,0,0.6791818352268065,0,0.688206466984126,0,0,0,0,0,0,0,0,0,0,0.6821768194351565,0
5.101000070571899,0,0,0,0.6851850106080379,0,0,0,0,0,0,0.6821768194351565,0,0,0.6791818352268065,0.6851850106080379,0
5.2230000495910645,0,0,0,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6851850106080379,0
5.312999963760376,0,0,0,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.688206466984126,0
5.412999868392944,0,0,0.6791818352268065,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6821768194351565,0
5.513999938964844,0,0,0,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6912412470589104,0
5.609999895095825,0,0,0,0.688206466984126,0,0,0,0,0,0,0,0,0,0,0.6851850106080379,0
5.707000017166138,0,0,0,0.6851850106080379,0,0,0,0,0,0,0.6821768194351565,0,0.6791818352268065,0,0.6821768194351565,0
5.802000045776367,0,0,0,0.6851850106080379,0,0,0,0,0,0,0.6821768194351565,0,0.6791818352268065,0,0.6821768194351565,0
5.9059998989105225,0,0,0,0.6851850106080379,0,0,0,0,0,0,0.6821768194351565,0,0.6791818352268065,0,0.6851850106080379,0
6.000999927520752,0,0,0,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6851850106080379,0
6.105000019073486,0,0,0,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6821768194351565,0
6.200999975204468,0,0,0,0.6912412470589104,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6821768194351565,0
6.300999879837036,0,0,0,0.688206466984126,0,0,0,0,0,0,0,0,0,0,0.6851850106080379,0
6.4019999504089355,0,0,0,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6821768194351565,0
6.502000093460083,0,0,0,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6912412470589104,0
6.601999998092651,0,0,0,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6821768194351565,0
6.7149999141693115,0,0,0,0.688206466984126,0,0,0,0,0,0,0,0,0,0,0.6821768194351565,0
6.815000057220459,0,0,0,0.6912412470589104,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6821768194351565,0
6.900000095367432,0,0,0,0.6912412470589104,0,0,0,0,0,0,0.6821768194351565,0,0,0,0.6821768194351565,0
7.0,0.6791818352268065,0,0,0.688206466984126,0,0,0,0,0,0,0,0,0,0,0.6851850106080379,0
7.115999937057495,0,0,0,0.6912412470589104,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6851850106080379,0
7.200999975204468,0,0,0,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6851850106080379,0
7.300999879837036,0,0,0,0.6912412470589104,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6821768194351565,0
7.401000022888184,0.6791818352268065,0,0,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6851850106080379,0
7.502000093460083,0,0,0,0.6851850106080379,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6851850106080379,0
7.601000070571899,0,0,0,0.688206466984126,0,0,0,0,0,0,0,0,0,0,0.688206466984126,0
7.70199990272522,0,0,0,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.688206466984126,0
7.802000045776367,0,0,0,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6912412470589104,0
7.901000022888184,0,0,0,0.6851850106080379,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6821768194351565,0
8.0,0,0,0,0.688206466984126,0,0,0,0,0,0,0.6821768194351565,0,0,0,0.6821768194351565,0
8.101999998092651,0.6821768194351565,0,0,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6821768194351565,0
8.200000047683716,0,0,0.6791818352268065,0.6851850106080379,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6821768194351565,0
8.303999900817871,0,0,0,0.688206466984126,0,0,0,0,0,0,0,0,0.6791818352268065,0,0.6821768194351565,0
8.40499997138977,0,0,0,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.688206466984126,0
8.500999927520752,0.6791818352268065,0,0,0.6851850106080379,0,0,0,0,0,0,0,0,0,0,0.6821768194351565,0
8.6010000705719,0,0,0,0.688206466984126,0,0,0,0,0,0,0,0,0,0,0.6851850106080379,0
8.70199990272522,0.6791818352268065,0,0,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0.6791818352268065,0,0.6851850106080379,0
8.80299997329712,0.6791818352268065,0,0,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0.6791818352268065,0,0.6851850106080379,0
8.900000095367432,0,0,0,0.688206466984126,0,0,0,0,0,0,0,0,0,0.6791818352268065,0.6851850106080379,0
9.000999927520752,0,0,0,0.6851850106080379,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6821768194351565,0
9.101999998092651,0,0,0,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.688206466984126,0
9.20199990272522,0.6791818352268065,0,0,0.6912412470589104,0,0,0,0,0,0,0,0,0,0,0.6851850106080379,0
9.300999879837036,0,0,0,0.688206466984126,0,0,0,0,0,0,0.6791818352268065,0,0,0,0.6851850106080379,0
9.40499997138977,0,0,0,0.688206466984126,0,0,0,0,0,0,0,0,0,0,0.6851850106080379,0
9.502000093460083,0.6791818352268065,0,0.6791818352268065,0.688206466984126,0,0,0,0,0,0,0,0,0,0,0.6821768194351565,0
9.602999925613403,0,0,0,0.688206466984126,0,0,0,0,0,0,0.6821768194351565,0,0,0,0.6821768194351565,0
9.700000047683716,0,0,0,0.688206466984126,0,0,0,0,0,0,0.6821768194351565,0,0,0,0.6821768194351565,0
9.802000045776367,0.6791818352268065,0,0,0.6851850106080379,0,0,0,0,0,0,0,0,0,0.6791818352268065,0.688206466984126,0
